"country","iso2c","iso3c","year","poblacion_total","crecimiento_poblacion","tasa_natalidad","tasa_mortalidad","migracion_neta","tasa_fecundidad","esperanza_vida","mortalidad_niniez","poblacion_0_14","poblacion_15_64","poblacion_65_mas","dependencia_total","dependencia_joven","dependencia_mayores"
"Spain","ES","ESP",2012,46773055,0.0649259625617232,9.7,8.6,-153486,1.32,82.4268292682927,3.6,15.0600098504152,67.4834730652077,17.4565170843771,48.1844300113021,22.3165907375352,25.8678392737669
"Spain","ES","ESP",2013,46604197,-0.361668780017733,9.1,8.3,-250741,1.27,83.0780487804878,3.5,15.0721422735095,67.0770392025555,17.850818523935,49.0823130564992,22.4698987211265,26.6124143353727
"Spain","ES","ESP",2014,46460733,-0.308309722343882,9.2,8.5,-97870,1.32,83.2292682926829,3.4,15.0512623691846,66.6930927877804,18.2556448430349,49.9405636720981,22.5679482090357,27.3726154630625
"Spain","ES","ESP",2015,46422303,-0.0827492378541321,9,9.1,-1979,1.33,82.8317073170732,3.3,14.9967903134298,66.4614550787613,18.5417546078088,50.463152001926,22.5646419799631,27.8985100219629
"Spain","ES","ESP",2016,46458139,0.0771658726133905,8.8,8.8,106474,1.33,83.3292682926829,3.3,14.9182925617657,66.3143685616246,18.7673388766097,50.7968795026243,22.4963193505984,28.300560152026
"Spain","ES","ESP",2017,46571232,0.243134086570712,8.4,9.1,201135,1.31,83.2829268292683,3.2,14.8205817262009,66.1865982307919,18.9928200430073,51.0879864250854,22.3921173670547,28.6958690580307
"Spain","ES","ESP",2018,46782011,0.451573724507016,7.9,9.1,337467,1.26,83.4317073170732,3.2,14.665685455539,66.1319737035927,19.2023408408683,51.21278722932,22.1763930913531,29.0363941379669
"Spain","ES","ESP",2019,47118501,0.716697775475724,7.6,8.8,464783,1.23,83.8317073170732,3.2,14.4487958383745,66.1693765330282,19.3818276285973,51.1273134809275,21.836076943698,29.2912365372295
"Spain","ES","ESP",2020,47359424,0.510010189620998,7.2,10.4,236854,1.18,82.2317073170732,3.2,14.1995072556252,66.2408766587242,19.5596160856506,50.9641870731648,21.4361707316031,29.5280163415616
"Spain","ES","ESP",2021,47443821,0.178046695121711,7.1,9.5,144385,1.18,83.1780487804878,3.2,13.9083161586305,66.2783015470184,19.8133822943511,50.8789437442103,20.9847212712219,29.8942224729884
"Spain","ES","ESP",2022,47786102,0.718854879160094,6.9,9.7,299779,1.16,83.1341463414634,3.2,13.5959103362946,66.2160904145149,20.1879992491906,51.0206958838906,20.5326392957178,30.4880565881728
"Spain","ES","ESP",2023,48352528,1.17836618688432,6.6,9,119099,1.12,83.9341463414634,3.2,13.2586507610337,66.0876417150889,20.6537075238774,51.3142228402432,20.0622249162847,31.2519979239585
"Spain","ES","ESP",2024,48848840,1.02121260938381,6.5,8.9,111674,1.1,83.8878048780488,3.2,12.9217448695747,65.9328112372132,21.1454438932121,51.6695519755033,19.5983514726874,32.0712005028159
"Spain","ES","ESP",2025,49355143,1.03113431966787,NA,NA,96630,NA,NA,NA,12.6191319691698,65.7387870333902,21.64208099744,52.1171983566767,19.1958711526835,32.9213272039932
"United Arab Emirates","AE","ARE",1960,131334,NA,39.919,13.891,3102,6.499,50.651,201.3,37.7722532921662,59.8784020954129,2.34934461242096,67.0044887526863,63.081598657189,3.92289009549726
"United Arab Emirates","AE","ARE",1961,137989,4.94302750761822,39.796,13.295,3141,6.494,51.596,190.7,36.7373486292386,61.0182695722123,2.24438179854916,63.8855568355919,60.2073658832053,3.67819095238661
"United Arab Emirates","AE","ARE",1962,144946,4.91872874289777,39.622,12.713,3212,6.489,52.546,180.3,35.8298952713424,62.026547817808,2.14355691084956,61.2212891385351,57.7654190534453,3.45587008508982
"United Arab Emirates","AE","ARE",1963,152211,4.8906456876335,39.447,12.141,3264,6.495,53.509,169.7,35.0947040621243,62.8574807339811,2.04781520389459,59.0900539320206,55.8321836197165,3.25787031230403
"United Arab Emirates","AE","ARE",1964,159692,4.7979243899545,39.166,11.552,3126,6.494,54.495,159,34.4995366079703,63.5435713748967,1.95689201713298,57.3723318288429,54.2927252301082,3.07960659873465
"United Arab Emirates","AE","ARE",1965,167103,4.53634287214408,38.882,10.907,2598,6.495,55.512,148,33.9193972597821,64.2090081895352,1.87159455068266,55.7407148515774,52.8263199589916,2.91439489258586
"United Arab Emirates","AE","ARE",1966,173976,4.03069699051328,38.656,10.176,1516,6.495,56.572,137.2,33.1990240061158,65.0073429457427,1.79363304814156,53.828129835451,51.0694359708922,2.75869386455874
"United Arab Emirates","AE","ARE",1967,179700,3.23714351228271,38.686,9.391,-283,6.51,57.648,126.6,32.1452420701169,66.126878130217,1.72787979966611,51.2244382731633,48.6114617520828,2.61297652108054
"United Arab Emirates","AE","ARE",1968,199416,10.4104301241277,35.905,7.884,28866,6.529,58.727,116.2,31.2049464560177,67.1585207769707,1.63653276701159,48.901997386597,46.4648123949972,2.43718499159978
"United Arab Emirates","AE","ARE",1969,239660,18.3828157223581,32.956,7.346,39902,6.524,59.764,106.1,30.5574563965618,67.8982725527831,1.54427105065509,47.2791519434629,45.0047626363497,2.27438930711323
"United Arab Emirates","AE","ARE",1970,286536,17.8642930456826,31.111,6.953,40792,6.519,60.78,96.5,29.7792071139527,68.7218512191334,1.49894166691387,45.5140087246652,43.3328424227959,2.18116630186935
"United Arab Emirates","AE","ARE",1971,335027,15.634694288103,29.928,6.528,41425,6.519,61.753,87.4,28.9706501267062,69.5343957352691,1.4949541380247,43.813718293777,41.6635545310548,2.1501637627222
"United Arab Emirates","AE","ARE",1972,385014,13.906857167078,29.061,6.156,41888,6.502,62.675,79.1,28.2779694737977,70.2020838230348,1.51994670316755,42.4458355531877,40.2807375836145,2.1650979695732
"United Arab Emirates","AE","ARE",1973,436399,12.5277265217573,28.35,5.843,42243,6.464,63.542,71.5,27.7531888858463,70.6746242253353,1.57218688881836,41.4936629239713,39.2691206557228,2.22454226824848
